ts_event,signal,position,position_size,z_score,lambda,spread
2018-05-02 00:00:00+00:00,0.0,0.0,0.0,2.547401155860715,0.03745268096239001,3.802724284297657
2018-05-03 00:00:00+00:00,-1.0,-1.0,-1.0,2.546354078300309,0.03745268096239001,3.8010818647547375
2018-05-04 00:00:00+00:00,0.0,-1.0,-1.0,2.5483949803153307,0.03745268096239001,3.8042831723573522
2018-05-07 00:00:00+00:00,0.0,-1.0,-1.0,2.55571774949636,0.03745268096239001,3.815769484036636
2018-05-08 00:00:00+00:00,0.0,-1.0,-1.0,2.5591712004456713,0.03745268096239001,3.8211864803931057
2018-05-09 00:00:00+00:00,0.0,-1.0,-1.0,2.572186298810155,0.03745268096239001,3.8416016365526486
2018-05-10 00:00:00+00:00,0.0,-1.0,-1.0,2.587013136794828,0.03745268096239001,3.864858641942277
2018-05-11 00:00:00+00:00,0.0,-1.0,-1.0,2.58121823773949,0.03745268096239001,3.855768908939079
2018-05-14 00:00:00+00:00,0.0,-1.0,-1.0,2.5861094508859854,0.03745268096239001,3.863441142939846
2018-05-15 00:00:00+00:00,0.0,-1.0,-1.0,2.5841801193856453,0.03745268096239001,3.860414842042232
2018-05-16 00:00:00+00:00,0.0,-1.0,-1.0,2.5867455916767357,0.03745268096239001,3.8644389773947934
2018-05-17 00:00:00+00:00,0.0,-1.0,-1.0,2.5867729926397103,0.03745268096239001,3.8644819578565914
2018-05-18 00:00:00+00:00,0.0,-1.0,-1.0,2.582455882617502,0.03745268096239001,3.8577102475864784
2018-05-21 00:00:00+00:00,0.0,-1.0,-1.0,2.5897326444241364,0.03745268096239001,3.8691243932546837
2018-05-22 00:00:00+00:00,0.0,-1.0,-1.0,2.5856248983965586,0.03745268096239001,3.862681086084176
2018-05-23 00:00:00+00:00,0.0,-1.0,-1.0,2.5882454371675108,0.03745268096239001,3.8667915973329507
2018-05-24 00:00:00+00:00,0.0,-1.0,-1.0,2.5760708915679538,0.03745268096239001,3.847694911113147
2018-05-25 00:00:00+00:00,0.0,-1.0,-1.0,2.5643003031570757,0.03745268096239001,3.8292318619860257
2018-05-29 00:00:00+00:00,0.0,-1.0,-1.0,2.56324123580641,0.03745268096239001,3.8275706355594687
2018-05-30 00:00:00+00:00,0.0,-1.0,-1.0,2.584598615434337,0.03745268096239001,3.8610712844252957
2018-05-31 00:00:00+00:00,0.0,-1.0,-1.0,2.584628117182815,0.03745268096239001,3.8611175601264307
2018-06-01 00:00:00+00:00,0.0,-1.0,-1.0,2.588938816813148,0.03745268096239001,3.8678792152169734
2018-06-04 00:00:00+00:00,0.0,-1.0,-1.0,2.5835017538557694,0.03745268096239001,3.8593507749228118
2018-06-05 00:00:00+00:00,0.0,-1.0,-1.0,2.5813994596710685,0.03745268096239001,3.856053169105933
2018-06-06 00:00:00+00:00,0.0,-1.0,-1.0,2.5910415102619333,0.03745268096239001,3.8711774473094596
2018-06-07 00:00:00+00:00,0.0,-1.0,-1.0,2.595609468178393,0.03745268096239001,3.878342631281425
2018-06-08 00:00:00+00:00,0.0,-1.0,-1.0,2.60061343910637,0.03745268096239001,3.8861917343040515
2018-06-11 00:00:00+00:00,0.0,-1.0,-1.0,2.596728512558259,0.03745268096239001,3.8800979361684593
2018-06-12 00:00:00+00:00,0.0,-1.0,-1.0,2.5915752322642462,0.03745268096239001,3.872014630227165
2018-06-13 00:00:00+00:00,0.0,-1.0,-1.0,2.5846966070025186,0.03745268096239001,3.8612249915361234
2018-06-14 00:00:00+00:00,0.0,-1.0,-1.0,2.5881584107489934,0.03745268096239001,3.8666550898802763
2018-06-15 00:00:00+00:00,0.0,-1.0,-1.0,2.579858630653051,0.03745268096239001,3.853636263437066
2018-06-18 00:00:00+00:00,0.0,-1.0,-1.0,2.5794770289436038,0.03745268096239001,3.8530376925872005
2018-06-19 00:00:00+00:00,0.0,-1.0,-1.0,2.579257475104576,0.03745268096239001,3.852693305953795
2018-06-20 00:00:00+00:00,0.0,-1.0,-1.0,2.578303284721016,0.03745268096239001,3.8511965869017546
2018-06-21 00:00:00+00:00,0.0,-1.0,-1.0,2.5741387872951504,0.03745268096239001,3.844664260914341
2018-06-22 00:00:00+00:00,0.0,-1.0,-1.0,2.585101539743804,0.03745268096239001,3.8618601588561043
2018-06-25 00:00:00+00:00,0.0,-1.0,-1.0,2.5730826491346335,0.03745268096239001,3.843007629141827
2018-06-26 00:00:00+00:00,0.0,-1.0,-1.0,2.579255438879366,0.03745268096239001,3.852690111982112
2018-06-27 00:00:00+00:00,0.0,-1.0,-1.0,2.5871423219965948,0.03745268096239001,3.8650612786026928
2018-06-28 00:00:00+00:00,0.0,-1.0,-1.0,2.589142964122919,0.03745268096239001,3.8681994355558302
2018-06-29 00:00:00+00:00,0.0,-1.0,-1.0,2.594323320397296,0.03745268096239001,3.876325212199368
2018-07-02 00:00:00+00:00,0.0,-1.0,-1.0,2.5888828580714236,0.03745268096239001,3.86779143974123
2018-07-03 00:00:00+00:00,0.0,-1.0,-1.0,2.5919499279223857,0.03745268096239001,3.8726023684185327
2018-07-05 00:00:00+00:00,0.0,-1.0,-1.0,2.5926106324994147,0.03745268096239001,3.8736387330112265
2018-07-06 00:00:00+00:00,0.0,-1.0,-1.0,2.5926625185283276,0.03745268096239001,3.873720120132022
2018-07-09 00:00:00+00:00,0.0,-1.0,-1.0,2.5960882816173587,0.03745268096239001,3.879093686006792
2018-07-10 00:00:00+00:00,0.0,-1.0,-1.0,2.6000873016677186,0.03745268096239001,3.885366448342268
