date,equity,returns
2020-07-01 00:00:00+00:00,1000000.0,0.0
2020-07-02 00:00:00+00:00,1000000.0,0.0
2020-07-06 00:00:00+00:00,1000000.0,0.0
2020-07-07 00:00:00+00:00,1000000.0,0.0
2020-07-08 00:00:00+00:00,1000000.0,0.0
2020-07-09 00:00:00+00:00,1000000.0,0.0
2020-07-10 00:00:00+00:00,1000000.0,0.0
2020-07-13 00:00:00+00:00,1000000.0,0.0
2020-07-14 00:00:00+00:00,1000000.0,0.0
2020-07-15 00:00:00+00:00,1000000.0,0.0
2020-07-16 00:00:00+00:00,1000000.0,0.0
2020-07-17 00:00:00+00:00,1000000.0,0.0
2020-07-20 00:00:00+00:00,1000000.0,0.0
2020-07-21 00:00:00+00:00,1000000.0,0.0
2020-07-22 00:00:00+00:00,1000000.0,0.0
2020-07-23 00:00:00+00:00,1000000.0,0.0
2020-07-24 00:00:00+00:00,999977.4882101907,-2.2511789809276372e-05
2020-07-27 00:00:00+00:00,999966.0729155773,-1.1415551597893092e-05
2020-07-28 00:00:00+00:00,1000021.0876940652,5.501664504214965e-05
2020-07-29 00:00:00+00:00,1000174.3652848585,0.0001532743585905827
2020-07-30 00:00:00+00:00,1000056.7221062478,-0.00011762266930048781
2020-07-31 00:00:00+00:00,1000354.7872820299,0.0002980482698564657
2020-08-03 00:00:00+00:00,999987.612267457,-0.0003670447917488717
2020-08-04 00:00:00+00:00,1000038.6365847088,5.102494933528767e-05
2020-08-05 00:00:00+00:00,1000046.58274478,7.945853070623343e-06
2020-08-06 00:00:00+00:00,1000071.8695490384,2.5285626384485838e-05
2020-08-07 00:00:00+00:00,999990.7494101413,-8.111430924828689e-05
2020-08-10 00:00:00+00:00,1000024.8039914621,3.405489634866754e-05
2020-08-11 00:00:00+00:00,1000042.3740121904,1.7569584932486393e-05
2020-08-12 00:00:00+00:00,1000042.3740121904,0.0
2020-08-13 00:00:00+00:00,1000042.3740121904,0.0
2020-08-14 00:00:00+00:00,1000042.3740121904,0.0
2020-08-17 00:00:00+00:00,1000042.3740121904,0.0
2020-08-18 00:00:00+00:00,1000042.3740121904,0.0
2020-08-19 00:00:00+00:00,1000042.3740121904,0.0
2020-08-20 00:00:00+00:00,1000042.3740121904,0.0
2020-08-21 00:00:00+00:00,1000042.3740121904,0.0
2020-08-24 00:00:00+00:00,1000042.3740121904,0.0
2020-08-25 00:00:00+00:00,1000042.3740121904,0.0
2020-08-26 00:00:00+00:00,1000042.3740121904,0.0
2020-08-27 00:00:00+00:00,1000042.3740121904,0.0
2020-08-28 00:00:00+00:00,1000042.3740121904,0.0
2020-08-31 00:00:00+00:00,1000029.2074401878,-1.3166014105725488e-05
2020-09-01 00:00:00+00:00,999932.8887749201,-9.631585212821481e-05
2020-09-02 00:00:00+00:00,1000021.07992849,8.819707258345133e-05
2020-09-03 00:00:00+00:00,999916.0275841032,-0.00010505012993755614
2020-09-04 00:00:00+00:00,999921.2109845364,5.183835732447406e-06
2020-09-08 00:00:00+00:00,999902.6903962988,-1.8522047571578604e-05
2020-09-09 00:00:00+00:00,999888.8754640976,-1.3816276657530047e-05
2020-09-10 00:00:00+00:00,999888.561982958,-3.1351597895579175e-07
2020-09-11 00:00:00+00:00,999944.6081550196,5.605241843187336e-05
2020-09-14 00:00:00+00:00,999953.8306476331,9.22300349270877e-06
2020-09-15 00:00:00+00:00,999898.05088618,-5.578233688741108e-05
2020-09-16 00:00:00+00:00,999803.6757609908,-9.438474763057147e-05
2020-09-17 00:00:00+00:00,999887.1113938522,8.345201651493994e-05
2020-09-18 00:00:00+00:00,999618.6292521254,-0.0002685124537233907
2020-09-21 00:00:00+00:00,999643.7544914205,2.5134824982009363e-05
2020-09-22 00:00:00+00:00,999640.7309083346,-3.024660607642282e-06
2020-09-23 00:00:00+00:00,999974.0308908144,0.0003334197698976471
2020-09-24 00:00:00+00:00,999965.9607127429,-8.070387652270306e-06
2020-09-25 00:00:00+00:00,999927.4592214014,-3.8502801949391596e-05
2020-09-28 00:00:00+00:00,999916.9522836113,-1.0507700026862743e-05
2020-09-29 00:00:00+00:00,999921.9304758732,4.97860572368225e-06
2020-09-30 00:00:00+00:00,999981.0977035587,5.917184720360957e-05
2020-10-01 00:00:00+00:00,999981.0977035587,0.0
2020-10-02 00:00:00+00:00,999981.0977035587,0.0
2020-10-05 00:00:00+00:00,999981.0977035587,0.0
2020-10-06 00:00:00+00:00,999981.0977035587,0.0
2020-10-07 00:00:00+00:00,999981.0977035587,0.0
2020-10-08 00:00:00+00:00,999981.0977035587,0.0
2020-10-09 00:00:00+00:00,999981.0977035587,0.0
2020-10-12 00:00:00+00:00,999981.0977035587,0.0
2020-10-13 00:00:00+00:00,999981.0977035587,0.0
2020-10-14 00:00:00+00:00,999981.0977035587,0.0
2020-10-15 00:00:00+00:00,999981.0977035587,0.0
2020-10-16 00:00:00+00:00,999981.0977035587,0.0
2020-10-19 00:00:00+00:00,999981.0977035587,0.0
2020-10-20 00:00:00+00:00,999981.0977035587,0.0
2020-10-21 00:00:00+00:00,999981.0977035587,0.0
2020-10-22 00:00:00+00:00,999981.0977035587,0.0
2020-10-23 00:00:00+00:00,999981.0977035587,0.0
2020-10-26 00:00:00+00:00,999981.0977035587,0.0
2020-10-27 00:00:00+00:00,999981.0977035587,0.0
2020-10-28 00:00:00+00:00,999981.0977035587,0.0
2020-10-29 00:00:00+00:00,999981.0977035587,0.0
2020-10-30 00:00:00+00:00,999981.0977035587,0.0
2020-11-02 00:00:00+00:00,999981.0977035587,0.0
2020-11-03 00:00:00+00:00,999981.0977035587,0.0
2020-11-04 00:00:00+00:00,999981.0977035587,0.0
2020-11-05 00:00:00+00:00,999981.0977035587,0.0
2020-11-06 00:00:00+00:00,999981.0977035587,0.0
2020-11-09 00:00:00+00:00,999981.0977035587,0.0
2020-11-10 00:00:00+00:00,999967.5520634798,-1.3545896127453716e-05
2020-11-11 00:00:00+00:00,1000007.3492079631,3.979843586043863e-05
2020-11-12 00:00:00+00:00,999984.9672124126,-2.238183106173519e-05
2020-11-13 00:00:00+00:00,999947.1879707656,-3.777980958286076e-05
2020-11-16 00:00:00+00:00,1000007.3464023228,6.01616088138357e-05
2020-11-17 00:00:00+00:00,999991.181274056,-1.6165009512070228e-05
2020-11-18 00:00:00+00:00,999950.4635558242,-4.071807731331756e-05
2020-11-19 00:00:00+00:00,999972.4477979066,2.1985331157381438e-05
2020-11-20 00:00:00+00:00,1000012.3879221363,3.9941224698525346e-05
2020-11-23 00:00:00+00:00,1000001.9651842136,-1.0422608808235978e-05
2020-11-24 00:00:00+00:00,999985.1756930692,-1.6789458149979453e-05
2020-11-25 00:00:00+00:00,999972.4746673079,-1.2701214048060905e-05
2020-11-27 00:00:00+00:00,1000006.441691233,3.396795890431292e-05
2020-11-30 00:00:00+00:00,999960.5768100392,-4.5864585748178754e-05
2020-12-01 00:00:00+00:00,999959.2093841172,-1.367479832481422e-06
2020-12-02 00:00:00+00:00,1000029.2173397003,7.001081136737142e-05
2020-12-03 00:00:00+00:00,999975.5126362144,-5.370313442321084e-05
2020-12-04 00:00:00+00:00,999981.688066349,6.175581358291993e-06
2020-12-07 00:00:00+00:00,999972.7412031371,-8.947027049344136e-06
2020-12-08 00:00:00+00:00,1000028.3423036523,5.560261617554296e-05
2020-12-09 00:00:00+00:00,999988.5935025096,-3.974767460201978e-05
