date,quarter,signal,position,position_size,z_score,lambda,spread,jump,regime
2020-07-01 00:00:00+00:00,1,0.0,0.0,0.0,-0.5362014397028944,0.07803758812746148,-0.05558990044353607,0,normal
2020-07-02 00:00:00+00:00,1,0.0,0.0,0.0,-0.5305420659165443,0.070795687835979,-0.05568059074757148,0,normal
2020-07-06 00:00:00+00:00,1,0.0,0.0,0.0,-0.1824545524982221,0.05324963785532246,-0.0372844175907705,0,normal
2020-07-07 00:00:00+00:00,1,0.0,0.0,0.0,-0.3277138448302287,0.05073650195606928,-0.04483079597598838,0,normal
2020-07-08 00:00:00+00:00,1,0.0,0.0,0.0,-0.1056707196096669,0.04870279365864483,-0.03283889723010347,0,normal
2020-07-09 00:00:00+00:00,1,0.0,0.0,0.0,0.1886764072997929,0.04705705319540839,-0.016928323108901466,0,normal
2020-07-10 00:00:00+00:00,1,0.0,0.0,0.0,0.46119685122333004,0.0457252684572708,-0.0018904327381692454,0,normal
2020-07-13 00:00:00+00:00,1,0.0,0.0,0.0,0.6711995210168112,0.043069668218968155,0.01019029867936272,0,normal
2020-07-14 00:00:00+00:00,1,0.0,0.0,0.0,0.5785091693100405,0.042498551623524616,0.006311712233110001,0,normal
2020-07-15 00:00:00+00:00,1,0.0,0.0,0.0,0.8209611300857189,0.042036386183408346,0.02057608178982928,0,normal
2020-07-16 00:00:00+00:00,1,0.0,0.0,0.0,1.075482464155153,0.18244550353862982,0.03558549381191245,1,normal
2020-07-17 00:00:00+00:00,1,0.0,0.0,0.0,1.089024757331339,0.29606895982852355,0.037716780960132645,1,normal
2020-07-20 00:00:00+00:00,1,0.0,0.0,0.0,0.872325490281543,0.17573416422029414,0.028005599184001362,0,normal
2020-07-21 00:00:00+00:00,1,0.0,0.0,0.0,1.1622093452064328,0.1498548177019745,0.043760718031743195,0,normal
2020-07-22 00:00:00+00:00,1,0.0,0.0,0.0,1.4879356128456962,0.12891243979003217,0.061186820061848834,0,normal
2020-07-23 00:00:00+00:00,1,0.0,0.0,0.0,1.9279158791570337,0.11196521153231158,0.08485073884879668,0,normal
2020-07-24 00:00:00+00:00,1,-1.0,-1.0,0.22511789809372024,2.039055564928811,0.09825098352883813,0.09316259471209598,0,normal
2020-07-27 00:00:00+00:00,1,0.0,-1.0,0.22511789809372024,2.120955198309566,0.07090459179507275,0.10020847279316403,0,normal
2020-07-28 00:00:00+00:00,1,0.0,-1.0,0.22511789809372024,2.0689400740868678,0.06502344375200889,0.10060120138465489,0,normal
2020-07-29 00:00:00+00:00,1,0.0,-1.0,0.22511789809372024,1.4816071464154479,0.06026423451978441,0.07336361942305203,0,normal
2020-07-30 00:00:00+00:00,1,0.0,-1.0,0.22511789809372024,1.4585240293628559,0.05641293331970599,0.07386448024386283,0,normal
2020-07-31 00:00:00+00:00,1,0.0,-1.0,0.22511789809372024,0.7668125704484656,0.05329633974082005,0.04447297938056405,0,normal
2020-08-03 00:00:00+00:00,1,0.0,-1.0,0.22511789809372024,0.923498527192842,0.04708180190015071,0.052634720953847136,0,normal
2020-08-04 00:00:00+00:00,1,0.0,-1.0,0.22511789809372024,0.8553043791982081,0.04574529588443855,0.05093827973008391,0,normal
2020-08-05 00:00:00+00:00,1,0.0,-1.0,0.22511789809372024,0.7623928233736527,0.04466375334847015,0.04807258139081316,0,normal
2020-08-06 00:00:00+00:00,1,0.0,-1.0,0.22511789809372024,0.4356705356037538,0.04378853524742355,0.03482700901392288,0,normal
2020-08-07 00:00:00+00:00,1,0.0,-1.0,0.22511789809372024,1.014760079292125,0.18386339744992647,0.06122057419877436,1,normal
2020-08-10 00:00:00+00:00,1,0.0,-1.0,0.22511789809372024,0.7765796419993616,0.11627313166954034,0.052152621664869336,0,normal
2020-08-11 00:00:00+00:00,1,2.0,0.0,0.0,0.20588896321141828,0.10173708745593874,0.028627766658961384,0,normal
2020-08-12 00:00:00+00:00,1,0.0,0.0,0.0,0.40378982510628675,0.08997406511492045,0.038126142435079835,0,normal
2020-08-13 00:00:00+00:00,1,0.0,0.0,0.0,0.08727398852352665,0.08045505894226303,0.025566869331663966,0,normal
2020-08-14 00:00:00+00:00,1,0.0,0.0,0.0,-0.07042189128342001,0.07275198095021304,0.01933832770272481,0,normal
2020-08-17 00:00:00+00:00,1,0.0,0.0,0.0,0.09038006697903295,0.057391919248380954,0.02595926320583075,0,normal
2020-08-18 00:00:00+00:00,1,0.0,0.0,0.0,0.01907517823999462,0.05408856582250536,0.02312648245172877,0,normal
2020-08-19 00:00:00+00:00,1,0.0,0.0,0.0,-0.18353101748904826,0.05141538874778965,0.01451569847509493,0,normal
2020-08-20 00:00:00+00:00,1,0.0,0.0,0.0,-0.3272691621122494,0.049252170117651234,0.00808174791708094,0,normal
2020-08-21 00:00:00+00:00,1,0.0,0.0,0.0,-0.2977189641350661,0.047501625836077366,0.008753895665654987,0,normal
2020-08-24 00:00:00+00:00,1,0.0,0.0,0.0,-0.560339027021043,0.04401101231710296,-0.002847482553213432,0,normal
2020-08-25 00:00:00+00:00,1,0.0,0.0,0.0,-1.2120365821712693,0.1840434328641387,-0.030978781871551675,1,normal
2020-08-26 00:00:00+00:00,1,0.0,0.0,0.0,-1.123344530532847,0.29736205429625645,-0.028845361463607055,1,normal
2020-08-27 00:00:00+00:00,1,0.0,0.0,0.0,-1.0713455814333166,0.38906303263478625,-0.028139088891124153,1,normal
2020-08-28 00:00:00+00:00,1,0.0,0.0,0.0,-1.5703243319308127,0.46327033697691394,-0.05176586113588755,1,elevated
2020-08-31 00:00:00+00:00,1,1.0,1.0,0.1316601410576813,-2.031425531272035,0.4051222150421111,-0.07630358841349416,1,normal
2020-09-01 00:00:00+00:00,1,0.0,1.0,0.1316601410576813,-2.4084338894381885,0.4762659304588798,-0.10054608588459857,1,elevated
2020-09-02 00:00:00+00:00,1,0.0,1.0,0.1316601410576813,-2.150950783738627,0.5338376536576459,-0.09473645970592948,1,elevated
2020-09-03 00:00:00+00:00,1,0.0,1.0,0.1316601410576813,-2.2747798556093635,0.5804264955906059,-0.10798422400441687,1,crisis
2020-09-04 00:00:00+00:00,1,0.0,1.0,0.1316601410576813,-2.149492701831675,0.6181276459480588,-0.10829918261609794,1,crisis
2020-09-08 00:00:00+00:00,1,0.0,1.0,0.1316601410576813,-2.326300301395966,0.428748136669043,-0.12580110307337655,1,elevated
2020-09-09 00:00:00+00:00,1,0.0,1.0,0.1316601410576813,-2.4401155595100454,0.49538476635679907,-0.14167408114507474,1,elevated
2020-09-10 00:00:00+00:00,1,0.0,1.0,0.1316601410576813,-2.5405093853271885,0.5493092145924322,-0.15899008060547182,1,elevated
2020-09-11 00:00:00+00:00,1,0.0,1.0,0.1316601410576813,-2.2605155229606164,0.5929465673688703,-0.15102755038108207,1,crisis
2020-09-14 00:00:00+00:00,1,0.0,1.0,0.1316601410576813,-2.135001886215526,0.4738414691765742,-0.15110350044046506,1,elevated
2020-09-15 00:00:00+00:00,1,0.0,1.0,0.1316601410576813,-1.5068994568180467,0.5318757036381208,-0.11265483860336101,1,elevated
2020-09-16 00:00:00+00:00,1,0.0,1.0,0.1316601410576813,-1.615085775837786,0.5788388241737812,-0.12376648147179559,1,crisis
2020-09-17 00:00:00+00:00,1,0.0,1.0,0.1316601410576813,-1.5985084465117323,0.6168428525013775,-0.12664955263740207,1,crisis
2020-09-18 00:00:00+00:00,1,0.0,1.0,0.1316601410576813,-1.6183394014401065,0.6475969027572169,-0.13220259436113224,1,crisis
