quarter,entry_date,exit_date,direction,entry_z,exit_z,entry_lambda,exit_lambda,entry_regime,exit_regime,position_size,pnl,return_pct,duration_days,exit_reason,mae_pct,mfe_pct
1,2020-07-30 00:00:00+00:00,2020-08-10 00:00:00+00:00,LONG,-2.6947845108339794,-3.320538598307772,0.02030291585666838,0.020296610021973555,normal,calm,0.25,-645.6532128774465,-0.24790903832775038,11,trailing_stop,-2.40292822625209,1.8696552743620858
5,2021-07-22 00:00:00+00:00,2021-07-28 00:00:00+00:00,SHORT,2.378339745119429,2.156466611449796,0.2202419754119925,0.4892753265321262,elevated,crisis,0.11488764689068263,-4057.61366609708,-3.5214938864169785,6,stop_loss,-3.5214938864169785,0.0
6,2021-10-22 00:00:00+00:00,2021-10-26 00:00:00+00:00,LONG,-1.8962625972004254,-2.5337166898777603,0.02066171605674283,0.020660145307168937,calm,calm,0.25,-7656.448377539004,-3.05209741569884,4,stop_loss,-3.05209741569884,0.0
7,2022-01-18 00:00:00+00:00,2022-02-01 00:00:00+00:00,SHORT,2.164060882969882,-2.328479109084079,0.02090106657799566,0.03128726159363448,normal,normal,0.25,2445.8273665795973,0.9882084915323951,14,trailing_stop,-0.2882894131294326,4.067692726315975
8,2022-04-04 00:00:00+00:00,2022-04-08 00:00:00+00:00,SHORT,2.369469815518495,1.876649287393041,0.028415899509484005,0.0234641575168968,normal,normal,0.25,-8618.268852638239,-3.43851399202003,4,stop_loss,-3.43851399202003,0.0
8,2022-05-19 00:00:00+00:00,2022-06-03 00:00:00+00:00,SHORT,1.7864675745141714,1.5066595303970634,0.019974055567686035,0.019973661854327064,calm,calm,0.25,-814.2426458039581,-0.3176958245661247,15,trailing_stop,-0.7785149709648986,2.0571630735878585
9,2022-07-05 00:00:00+00:00,2022-08-02 00:00:00+00:00,LONG,-1.9525991941333636,-0.5747497341930441,0.018217647245445744,0.01821764723168751,calm,calm,0.25,2276.2025071781154,0.9227120178791142,28,trailing_stop,-0.18522862737058784,3.048283077710512
10,2022-10-11 00:00:00+00:00,2022-10-24 00:00:00+00:00,LONG,-1.9926786558596026,-2.126948778210083,0.49868711228286833,0.485770434147188,crisis,crisis,0.08000000000000002,-2856.6548658685106,-3.5603694579911145,13,stop_loss,-3.5603694579911145,0.3307735225480263
11,2023-03-13 00:00:00+00:00,2023-03-16 00:00:00+00:00,SHORT,2.0743473917937583,3.056252053363768,0.016487880240375175,0.01648769215168512,calm,calm,0.25,-7622.979904412163,-3.0376999870827226,3,stop_loss,-3.0376999870827226,0.0
12,2023-04-04 00:00:00+00:00,2023-04-18 00:00:00+00:00,LONG,-2.1529314018164287,-0.6531030707660843,0.025384653681041487,0.025384653681041487,calm,calm,0.25,-9014.484728180369,-3.5960506816983457,14,stop_loss,-3.5960506816983457,0.0
12,2023-05-05 00:00:00+00:00,2023-05-10 00:00:00+00:00,SHORT,2.4544009228558403,1.0690661648839825,0.6413284060844753,0.5788976337901058,crisis,crisis,0.08000000000000002,-2745.465427119203,-3.452695483372733,5,stop_loss,-3.452695483372733,0.0
14,2023-10-03 00:00:00+00:00,2023-10-11 00:00:00+00:00,LONG,-1.7350100392160814,-1.5857578070618692,0.015075428185348334,0.015075428092699992,calm,calm,0.25,19.459734677280657,0.018606220037972528,8,trailing_stop,-0.22809119315242912,1.6058832817168422
15,2024-01-03 00:00:00+00:00,2024-01-12 00:00:00+00:00,LONG,-2.4754841232479374,-0.6572123453318446,0.3327835157403696,0.620742888889201,elevated,crisis,0.09521360487111181,-3192.1075989069836,-3.3414334103335706,9,stop_loss,-3.3414334103335706,0.0
16,2024-04-09 00:00:00+00:00,2024-04-19 00:00:00+00:00,SHORT,1.7643933269561067,-2.313844220012984,0.01602873391797443,0.016028600982981162,calm,calm,0.25,5035.339498886669,2.022901875750473,10,trailing_stop,0.0,4.605432273633402
17,2024-08-05 00:00:00+00:00,2024-08-12 00:00:00+00:00,LONG,-2.080393318520378,-1.8219650228025464,0.03265270762722522,0.021225842191605785,normal,normal,0.2487271722424648,-8060.857450356925,-3.230646729701175,7,stop_loss,-3.230646729701175,0.0
18,2024-10-23 00:00:00+00:00,2024-11-12 00:00:00+00:00,SHORT,2.1711196841962166,2.2464530200042305,0.5609427752574099,0.22279323764120837,crisis,elevated,0.08000000000000002,4982.452637923906,6.238034718612051,20,profit_target,-2.572302759711026,6.238034718612051
20,2025-04-10 00:00:00+00:00,2025-05-01 00:00:00+00:00,LONG,-2.1157381327913605,-2.1256819096027137,0.015691699207563466,0.6161743192522813,calm,crisis,0.25,5623.884092514126,2.260240112994351,21,trailing_stop,0.0,3.7894303201506636
21,2025-07-02 00:00:00+00:00,2025-07-28 00:00:00+00:00,LONG,-2.5412356868825907,-0.7034555917197367,0.04787449090431285,0.07871312260061362,normal,normal,0.25,16985.5302287757,6.806156936138712,26,profit_target,-1.9816189170018066,6.806156936138712
22,2025-10-02 00:00:00+00:00,2025-10-06 00:00:00+00:00,SHORT,3.1197372141504593,2.6003034082401366,0.01573710349282208,0.01573709081063995,calm,calm,0.25,-29250.751469312607,-11.68930840451649,4,trailing_stop,-11.68930840451649,1.371467566188944
