date,quarter,equity,returns,spread
2020-07-01 00:00:00+00:00,1,1000000.0,0.0,3.184095163835213
2020-07-02 00:00:00+00:00,1,1000000.0,0.0,3.3402180780078696
2020-07-06 00:00:00+00:00,1,1000000.0,0.0,3.6365457163212596
2020-07-07 00:00:00+00:00,1,1000000.0,0.0,3.5107869687547995
2020-07-08 00:00:00+00:00,1,1000000.0,0.0,3.632923091070325
2020-07-09 00:00:00+00:00,1,1000000.0,0.0,3.730288018168817
2020-07-10 00:00:00+00:00,1,1000000.0,0.0,3.0810982692649103
2020-07-13 00:00:00+00:00,1,1000000.0,0.0,2.969868992278423
2020-07-14 00:00:00+00:00,1,1000000.0,0.0,2.9777079294182203
2020-07-15 00:00:00+00:00,1,1000000.0,0.0,2.909059893587426
2020-07-16 00:00:00+00:00,1,1000000.0,0.0,2.818649172466319
2020-07-17 00:00:00+00:00,1,1000000.0,0.0,2.82842466287474
2020-07-20 00:00:00+00:00,1,1000000.0,0.0,2.8824356932287296
2020-07-21 00:00:00+00:00,1,1000000.0,0.0,2.598958803242385
2020-07-22 00:00:00+00:00,1,1000000.0,0.0,2.493318383244193
2020-07-23 00:00:00+00:00,1,1000000.0,0.0,1.6752837981664768
2020-07-24 00:00:00+00:00,1,1000000.0,0.0,1.1785399869020279
2020-07-27 00:00:00+00:00,1,1000000.0,0.0,0.31833157671461
2020-07-28 00:00:00+00:00,1,1000000.0,0.0,-0.7163500785040675
2020-07-29 00:00:00+00:00,1,1000000.0,0.0,-1.9308650528659657
2020-07-30 00:00:00+00:00,1,999975.0,-2.5e-05,-3.476576237097433
2020-07-31 00:00:00+00:00,1,998525.4787302064,-0.0014495575087313404,-5.298054953263764
2020-08-03 00:00:00+00:00,1,993967.6794343698,-0.0045645297921016546,-6.752150396396514
2020-08-04 00:00:00+00:00,1,1003214.3407589995,0.009302778667704376,-8.154636770838644
2020-08-05 00:00:00+00:00,1,1002763.181095055,-0.0004497141294881933,-9.459599826278684
2020-08-06 00:00:00+00:00,1,1004649.1381859052,0.0018807602097941861,-10.561820196398244
