ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2018-05-01T00:00:00.000000000Z,35,2,5140,51.650000000,51.980000000,51.030000000,51.980000000,1395966,MS
2018-05-02T00:00:00.000000000Z,35,2,5141,51.810000000,52.540000000,51.420000000,51.590000000,1100023,MS
2018-05-03T00:00:00.000000000Z,35,2,5144,52.050000000,52.050000000,49.890000000,51.100000000,1667078,MS
2018-05-04T00:00:00.000000000Z,35,2,5148,51.820000000,51.820000000,50.530000000,51.390000000,1698317,MS
2018-05-07T00:00:00.000000000Z,35,2,5147,51.530000000,52.620000000,51.530000000,52.400000000,907153,MS
2018-05-08T00:00:00.000000000Z,35,2,5147,52.540000000,53.755000000,52.400000000,53.270000000,1316534,MS
2018-05-09T00:00:00.000000000Z,35,2,5147,52.450000000,54.245000000,52.450000000,54.200000000,1047802,MS
2018-05-10T00:00:00.000000000Z,35,2,5149,54.090000000,55.200000000,53.870000000,54.800000000,910489,MS
2018-05-11T00:00:00.000000000Z,35,2,5150,55.100000000,55.540000000,54.890000000,55.340000000,672814,MS
2018-05-14T00:00:00.000000000Z,35,2,5149,55.550000000,55.640000000,55.120000000,55.230000000,718104,MS
2018-05-15T00:00:00.000000000Z,35,2,5150,54.940000000,55.415000000,54.500000000,54.960000000,1135117,MS
2018-05-16T00:00:00.000000000Z,35,2,5150,54.540000000,55.160000000,54.510000000,54.965000000,603536,MS
2018-05-17T00:00:00.000000000Z,35,2,5153,54.900000000,55.145000000,54.350000000,54.960000000,638295,MS
2018-05-18T00:00:00.000000000Z,35,2,5153,54.680000000,54.930000000,53.880000000,53.915000000,812724,MS
2018-05-21T00:00:00.000000000Z,35,2,5153,54.370000000,54.930000000,54.240000000,54.370000000,859026,MS
2018-05-22T00:00:00.000000000Z,35,2,5151,54.500000000,55.400000000,54.450000000,55.340000000,840812,MS
2018-05-23T00:00:00.000000000Z,35,2,5152,54.680000000,54.680000000,53.630000000,54.310000000,993777,MS
2018-05-24T00:00:00.000000000Z,35,2,5159,54.050000000,54.280000000,53.180000000,54.000000000,955370,MS
2018-05-25T00:00:00.000000000Z,35,2,5159,53.950000000,53.950000000,52.720000000,53.000000000,1204905,MS
2018-05-29T00:00:00.000000000Z,35,2,5158,52.000000000,52.440000000,49.510000000,50.080000000,3044405,MS
2018-05-30T00:00:00.000000000Z,35,2,5157,50.410000000,51.195000000,50.090000000,50.970000000,1506649,MS
2018-05-31T00:00:00.000000000Z,35,2,5158,50.950000000,50.950000000,49.910000000,50.160000000,1792884,MS
2018-06-01T00:00:00.000000000Z,35,2,5158,50.500000000,51.470000000,50.500000000,51.200000000,1187035,MS
2018-06-04T00:00:00.000000000Z,35,2,5154,51.820000000,51.820000000,51.440000000,51.450000000,710715,MS
2018-06-05T00:00:00.000000000Z,35,2,5154,51.360000000,51.490000000,50.660000000,50.730000000,1203652,MS
2018-06-06T00:00:00.000000000Z,35,2,5152,51.010000000,52.070000000,50.880000000,52.060000000,946193,MS
2018-06-07T00:00:00.000000000Z,35,2,5147,52.200000000,52.710000000,51.860000000,52.120000000,1141034,MS
2018-06-08T00:00:00.000000000Z,35,2,5150,51.410000000,52.180000000,51.410000000,51.890000000,927363,MS
2018-06-11T00:00:00.000000000Z,35,2,5148,52.090000000,52.435000000,51.780000000,51.800000000,951225,MS
2018-06-12T00:00:00.000000000Z,35,2,5148,51.860000000,52.120000000,50.960000000,51.330000000,1283449,MS
2018-06-13T00:00:00.000000000Z,35,2,5150,51.430000000,52.360000000,51.280000000,51.680000000,1177658,MS
2018-06-14T00:00:00.000000000Z,35,2,5154,51.750000000,51.880000000,51.100000000,51.310000000,1209341,MS
2018-06-15T00:00:00.000000000Z,35,2,5153,51.010000000,51.420000000,50.580000000,51.030000000,1000674,MS
2018-06-18T00:00:00.000000000Z,35,2,5156,50.650000000,50.940000000,50.460000000,50.870000000,974015,MS
2018-06-19T00:00:00.000000000Z,35,2,5156,49.900000000,50.170000000,49.490000000,50.020000000,1548913,MS
2018-06-20T00:00:00.000000000Z,35,2,5158,50.160000000,50.390000000,49.830000000,49.880000000,757041,MS
2018-06-21T00:00:00.000000000Z,35,2,5165,49.900000000,50.120000000,48.980000000,49.350000000,1472565,MS
2018-06-22T00:00:00.000000000Z,35,2,5168,49.720000000,50.540000000,48.810000000,48.920000000,1409378,MS
2018-06-25T00:00:00.000000000Z,35,2,5166,48.810000000,48.810000000,47.470000000,47.860000000,1864227,MS
2018-06-26T00:00:00.000000000Z,35,2,5166,47.970000000,48.040000000,47.110000000,47.795000000,1326981,MS
2018-06-27T00:00:00.000000000Z,35,2,5172,47.940000000,48.490000000,47.100000000,47.260000000,1672247,MS
2018-06-28T00:00:00.000000000Z,35,2,5178,47.260000000,48.700000000,47.190000000,48.290000000,1630010,MS
2018-06-29T00:00:00.000000000Z,35,2,5179,48.500000000,49.270000000,47.380000000,47.490000000,2257404,MS
2018-07-02T00:00:00.000000000Z,35,2,5173,47.050000000,47.765000000,46.770000000,47.630000000,1143565,MS
2018-07-03T00:00:00.000000000Z,35,2,5174,47.720000000,48.160000000,46.940000000,47.040000000,605922,MS
2018-07-05T00:00:00.000000000Z,35,2,5175,47.190000000,47.460000000,46.410000000,46.610000000,1476941,MS
2018-07-06T00:00:00.000000000Z,35,2,5176,46.520000000,47.285000000,46.290000000,46.950000000,958276,MS
2018-07-09T00:00:00.000000000Z,35,2,5174,47.050000000,48.500000000,47.050000000,48.410000000,1223909,MS
2018-07-10T00:00:00.000000000Z,35,2,5175,48.570000000,48.650000000,47.750000000,47.800000000,985818,MS
2018-07-11T00:00:00.000000000Z,35,2,5176,47.630000000,48.060000000,47.590000000,47.700000000,786533,MS
2018-07-12T00:00:00.000000000Z,35,2,5176,48.000000000,48.270000000,47.820000000,48.100000000,896674,MS
2018-07-13T00:00:00.000000000Z,35,2,5178,48.100000000,48.400000000,47.480000000,48.060000000,1356741,MS
2018-07-16T00:00:00.000000000Z,35,2,5178,48.360000000,49.080000000,48.200000000,48.890000000,1088289,MS
2018-07-17T00:00:00.000000000Z,35,2,5177,48.710000000,49.440000000,48.490000000,49.100000000,1145558,MS
2018-07-18T00:00:00.000000000Z,35,2,5181,49.250000000,51.490000000,49.250000000,50.360000000,2154082,MS
2018-07-19T00:00:00.000000000Z,35,2,5185,50.560000000,50.970000000,49.780000000,49.900000000,1652177,MS
2018-07-20T00:00:00.000000000Z,35,2,5183,49.700000000,50.585000000,49.510000000,50.280000000,1348513,MS
2018-07-23T00:00:00.000000000Z,35,2,5183,50.270000000,50.990000000,50.270000000,50.750000000,879023,MS
2018-07-24T00:00:00.000000000Z,35,2,5185,50.910000000,51.520000000,50.850000000,50.980000000,1159097,MS
2018-07-25T00:00:00.000000000Z,35,2,5198,50.980000000,51.110000000,50.410000000,50.700000000,1132591,MS
2018-07-26T00:00:00.000000000Z,35,2,5203,50.990000000,51.350000000,50.930000000,51.100000000,783753,MS
2018-07-27T00:00:00.000000000Z,35,2,5204,50.810000000,51.300000000,50.730000000,51.060000000,920511,MS
2018-07-30T00:00:00.000000000Z,35,2,5206,50.880000000,51.300000000,50.430000000,51.000000000,985405,MS
