ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2018-05-01T00:00:00.000000000Z,35,2,8430,77.500000000,77.510000000,75.990000000,76.960000000,1673612,XOM
2018-05-02T00:00:00.000000000Z,35,2,8433,77.200000000,77.390000000,76.430000000,76.770000000,1372669,XOM
2018-05-03T00:00:00.000000000Z,35,2,8438,76.490000000,76.680000000,75.410000000,76.680000000,1740993,XOM
2018-05-04T00:00:00.000000000Z,35,2,8442,76.750000000,77.220000000,75.940000000,76.900000000,1191470,XOM
2018-05-07T00:00:00.000000000Z,35,2,8441,77.700000000,79.080000000,77.400000000,77.740000000,1820810,XOM
2018-05-08T00:00:00.000000000Z,35,2,8441,77.900000000,78.350000000,76.370000000,78.280000000,2521085,XOM
2018-05-09T00:00:00.000000000Z,35,2,8442,79.270000000,80.240000000,78.830000000,80.050000000,2085815,XOM
2018-05-10T00:00:00.000000000Z,35,2,8445,80.350000000,81.930000000,80.260000000,81.930000000,1971622,XOM
2018-05-11T00:00:00.000000000Z,35,2,8448,81.270000000,81.965000000,80.910000000,81.260000000,1984445,XOM
2018-05-14T00:00:00.000000000Z,35,2,8439,80.760000000,82.320000000,80.760000000,81.930000000,1139318,XOM
2018-05-15T00:00:00.000000000Z,35,2,8440,82.000000000,82.320000000,81.405000000,81.630000000,1467767,XOM
2018-05-16T00:00:00.000000000Z,35,2,8444,81.600000000,82.100000000,81.170000000,81.950000000,937725,XOM
2018-05-17T00:00:00.000000000Z,35,2,8452,82.050000000,82.370000000,81.440000000,81.950000000,1532272,XOM
2018-05-18T00:00:00.000000000Z,35,2,8452,81.810000000,82.110000000,81.260000000,81.290000000,850414,XOM
2018-05-21T00:00:00.000000000Z,35,2,8450,81.550000000,82.350000000,81.530000000,82.320000000,969152,XOM
2018-05-22T00:00:00.000000000Z,35,2,8447,82.250000000,82.650000000,81.360000000,81.710000000,1391200,XOM
2018-05-23T00:00:00.000000000Z,35,2,8449,80.300000000,82.220000000,80.300000000,82.080000000,1293056,XOM
2018-05-24T00:00:00.000000000Z,35,2,8459,81.650000000,81.650000000,79.950000000,80.380000000,1271344,XOM
2018-05-25T00:00:00.000000000Z,35,2,8460,80.150000000,80.150000000,78.090000000,78.600000000,1531288,XOM
2018-05-29T00:00:00.000000000Z,35,2,8458,77.600000000,78.720000000,77.540000000,78.410000000,1487203,XOM
2018-05-30T00:00:00.000000000Z,35,2,8456,79.020000000,81.660000000,79.020000000,81.350000000,1898764,XOM
2018-05-31T00:00:00.000000000Z,35,2,8459,81.330000000,81.550000000,80.690000000,81.300000000,1298451,XOM
2018-06-01T00:00:00.000000000Z,35,2,8458,81.500000000,82.340000000,81.250000000,81.820000000,1038838,XOM
2018-06-04T00:00:00.000000000Z,35,2,8453,81.560000000,82.530000000,80.810000000,81.010000000,1170091,XOM
2018-06-05T00:00:00.000000000Z,35,2,8453,80.650000000,81.650000000,80.410000000,80.780000000,1011665,XOM
2018-06-06T00:00:00.000000000Z,35,2,8451,81.280000000,82.080000000,80.870000000,82.060000000,1131431,XOM
2018-06-07T00:00:00.000000000Z,35,2,8445,82.140000000,83.290000000,82.140000000,82.910000000,1191574,XOM
2018-06-08T00:00:00.000000000Z,35,2,8448,82.400000000,83.655000000,82.290000000,83.520000000,1218968,XOM
2018-06-11T00:00:00.000000000Z,35,2,8448,83.400000000,83.830000000,82.940000000,83.100000000,1035562,XOM
2018-06-12T00:00:00.000000000Z,35,2,8448,83.100000000,83.740000000,82.330000000,82.400000000,1363981,XOM
2018-06-13T00:00:00.000000000Z,35,2,8452,82.430000000,82.840000000,81.475000000,81.510000000,1258223,XOM
2018-06-14T00:00:00.000000000Z,35,2,8457,81.920000000,82.290000000,81.510000000,81.920000000,1147269,XOM
2018-06-15T00:00:00.000000000Z,35,2,8459,81.400000000,81.900000000,80.520000000,80.660000000,1535679,XOM
2018-06-18T00:00:00.000000000Z,35,2,8461,80.350000000,81.380000000,80.050000000,80.760000000,977627,XOM
2018-06-19T00:00:00.000000000Z,35,2,8464,79.850000000,80.960000000,79.730000000,80.700000000,1035292,XOM
2018-06-20T00:00:00.000000000Z,35,2,8466,80.850000000,81.100000000,80.270000000,80.570000000,1193650,XOM
2018-06-21T00:00:00.000000000Z,35,2,8475,80.220000000,80.370000000,79.330000000,79.850000000,1280744,XOM
2018-06-22T00:00:00.000000000Z,35,2,8480,80.340000000,81.940000000,80.340000000,81.420000000,1506868,XOM
2018-06-25T00:00:00.000000000Z,35,2,8480,81.570000000,81.570000000,79.310000000,79.720000000,1470176,XOM
2018-06-26T00:00:00.000000000Z,35,2,8475,80.040000000,81.010000000,79.980000000,80.630000000,1191231,XOM
2018-06-27T00:00:00.000000000Z,35,2,8485,81.130000000,82.470000000,81.000000000,81.760000000,1454030,XOM
2018-06-28T00:00:00.000000000Z,35,2,8495,81.710000000,82.060000000,81.030000000,81.980000000,1267536,XOM
2018-06-29T00:00:00.000000000Z,35,2,8496,81.800000000,83.540000000,81.800000000,82.700000000,1771097,XOM
2018-07-02T00:00:00.000000000Z,35,2,8489,82.540000000,82.540000000,81.330000000,81.840000000,1276078,XOM
2018-07-03T00:00:00.000000000Z,35,2,8491,82.560000000,83.450000000,82.080000000,82.270000000,800070,XOM
2018-07-05T00:00:00.000000000Z,35,2,8492,83.010000000,83.010000000,82.050000000,82.300000000,999704,XOM
2018-07-06T00:00:00.000000000Z,35,2,8493,82.000000000,82.690000000,81.720000000,82.320000000,832735,XOM
2018-07-09T00:00:00.000000000Z,35,2,8490,82.330000000,83.130000000,82.330000000,82.900000000,784294,XOM
2018-07-10T00:00:00.000000000Z,35,2,8490,83.000000000,84.110000000,82.970000000,83.490000000,951822,XOM
2018-07-11T00:00:00.000000000Z,35,2,8491,82.970000000,83.530000000,82.030000000,82.570000000,1565473,XOM
2018-07-12T00:00:00.000000000Z,35,2,8490,82.890000000,83.240000000,82.310000000,82.670000000,1037827,XOM
2018-07-13T00:00:00.000000000Z,35,2,8494,82.710000000,83.745000000,82.570000000,83.300000000,989950,XOM
2018-07-16T00:00:00.000000000Z,35,2,8493,82.510000000,82.880000000,82.000000000,82.400000000,889449,XOM
2018-07-17T00:00:00.000000000Z,35,2,8495,82.490000000,82.750000000,82.050000000,82.330000000,723338,XOM
2018-07-18T00:00:00.000000000Z,35,2,8500,82.310000000,82.320000000,81.500000000,82.240000000,990869,XOM
2018-07-19T00:00:00.000000000Z,35,2,8506,81.110000000,82.620000000,81.110000000,82.010000000,879502,XOM
2018-07-20T00:00:00.000000000Z,35,2,8505,81.990000000,81.990000000,81.250000000,81.400000000,927181,XOM
2018-07-23T00:00:00.000000000Z,35,2,8502,81.520000000,81.990000000,81.180000000,81.360000000,738733,XOM
2018-07-24T00:00:00.000000000Z,35,2,8507,81.950000000,83.010000000,81.480000000,83.010000000,1386342,XOM
2018-07-25T00:00:00.000000000Z,35,2,8519,82.780000000,83.730000000,82.510000000,83.530000000,1040106,XOM
2018-07-26T00:00:00.000000000Z,35,2,8525,83.640000000,84.390000000,83.390000000,84.250000000,1457433,XOM
2018-07-27T00:00:00.000000000Z,35,2,8534,84.260000000,84.490000000,80.120000000,81.960000000,1712733,XOM
2018-07-30T00:00:00.000000000Z,35,2,8535,82.310000000,82.310000000,80.720000000,81.740000000,1179156,XOM
2018-07-31T00:00:00.000000000Z,35,2,8534,81.540000000,82.145000000,81.480000000,81.500000000,1057450,XOM
2018-08-01T00:00:00.000000000Z,35,2,8530,81.310000000,81.400000000,80.230000000,80.450000000,995790,XOM
2018-08-02T00:00:00.000000000Z,35,2,8535,79.850000000,80.250000000,79.460000000,79.950000000,1017213,XOM
2018-08-03T00:00:00.000000000Z,35,2,8536,79.910000000,80.300000000,79.630000000,80.160000000,821750,XOM
2018-08-06T00:00:00.000000000Z,35,2,8532,80.210000000,80.420000000,79.750000000,80.190000000,845614,XOM
2018-08-07T00:00:00.000000000Z,35,2,8531,80.790000000,81.580000000,80.330000000,81.270000000,1271858,XOM
2018-08-08T00:00:00.000000000Z,35,2,8540,81.000000000,81.190000000,80.350000000,80.700000000,726385,XOM
2018-08-09T00:00:00.000000000Z,35,2,8547,80.850000000,80.870000000,80.120000000,80.340000000,1021417,XOM
2018-08-10T00:00:00.000000000Z,35,2,8552,79.370000000,79.590000000,78.860000000,79.450000000,1032752,XOM
2018-08-13T00:00:00.000000000Z,35,2,8556,79.210000000,79.750000000,78.435000000,78.740000000,886716,XOM
2018-08-14T00:00:00.000000000Z,35,2,8557,79.000000000,79.040000000,78.090000000,78.210000000,794927,XOM
2018-08-15T00:00:00.000000000Z,35,2,8552,77.900000000,77.920000000,76.510000000,77.130000000,1746301,XOM
2018-08-16T00:00:00.000000000Z,35,2,8538,77.310000000,78.100000000,77.050000000,78.010000000,1051312,XOM
2018-08-17T00:00:00.000000000Z,35,2,8540,78.330000000,78.480000000,77.800000000,78.260000000,860692,XOM
2018-08-20T00:00:00.000000000Z,35,2,8540,78.540000000,78.990000000,78.180000000,78.820000000,634641,XOM
2018-08-21T00:00:00.000000000Z,35,2,8540,79.100000000,79.580000000,78.600000000,78.600000000,859232,XOM
2018-08-22T00:00:00.000000000Z,35,2,8540,79.490000000,80.040000000,79.020000000,79.950000000,917522,XOM
2018-08-23T00:00:00.000000000Z,35,2,8539,79.620000000,79.650000000,78.900000000,79.050000000,645900,XOM
2018-08-24T00:00:00.000000000Z,35,2,8537,79.450000000,80.040000000,79.320000000,79.610000000,566221,XOM
2018-08-27T00:00:00.000000000Z,35,2,8534,79.900000000,80.465000000,79.870000000,80.390000000,633866,XOM
