ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2018-05-01T00:00:00.000000000Z,35,2,1782,124.100000000,124.910000000,123.090000000,124.800000000,641766,CVX
2018-05-02T00:00:00.000000000Z,35,2,1782,125.400000000,126.470000000,124.090000000,125.470000000,711320,CVX
2018-05-03T00:00:00.000000000Z,35,2,1783,124.810000000,126.780000000,123.830000000,126.000000000,581585,CVX
2018-05-04T00:00:00.000000000Z,35,2,1786,126.010000000,126.840000000,124.740000000,125.620000000,660016,CVX
2018-05-07T00:00:00.000000000Z,35,2,1786,126.000000000,128.380000000,124.450000000,124.920000000,635116,CVX
2018-05-08T00:00:00.000000000Z,35,2,1786,124.930000000,126.750000000,123.630000000,126.620000000,802368,CVX
2018-05-09T00:00:00.000000000Z,35,2,1786,127.950000000,130.410000000,127.950000000,128.850000000,1153668,CVX
2018-05-10T00:00:00.000000000Z,35,2,1786,129.120000000,129.810000000,128.380000000,128.800000000,640820,CVX
2018-05-11T00:00:00.000000000Z,35,2,1786,129.080000000,130.760000000,128.650000000,129.820000000,738858,CVX
2018-05-14T00:00:00.000000000Z,35,2,1786,130.330000000,131.060000000,129.810000000,130.450000000,476343,CVX
2018-05-15T00:00:00.000000000Z,35,2,1786,130.790000000,130.850000000,129.250000000,129.700000000,618302,CVX
2018-05-16T00:00:00.000000000Z,35,2,1786,129.340000000,129.740000000,128.310000000,129.570000000,650913,CVX
2018-05-17T00:00:00.000000000Z,35,2,1788,128.960000000,129.570000000,128.360000000,129.520000000,707510,CVX
2018-05-18T00:00:00.000000000Z,35,2,1788,129.450000000,129.450000000,127.810000000,128.000000000,529571,CVX
2018-05-21T00:00:00.000000000Z,35,2,1788,128.270000000,129.400000000,128.200000000,129.360000000,456925,CVX
2018-05-22T00:00:00.000000000Z,35,2,1786,129.240000000,130.390000000,128.100000000,128.210000000,573992,CVX
2018-05-23T00:00:00.000000000Z,35,2,1786,127.300000000,128.780000000,126.570000000,128.680000000,546409,CVX
2018-05-24T00:00:00.000000000Z,35,2,1789,127.800000000,127.800000000,125.850000000,126.580000000,657658,CVX
2018-05-25T00:00:00.000000000Z,35,2,1788,125.000000000,125.080000000,121.220000000,122.190000000,861618,CVX
2018-05-29T00:00:00.000000000Z,35,2,1787,121.600000000,122.430000000,120.080000000,121.360000000,585868,CVX
2018-05-30T00:00:00.000000000Z,35,2,1787,122.400000000,125.660000000,122.120000000,125.020000000,956273,CVX
2018-05-31T00:00:00.000000000Z,35,2,1787,124.140000000,124.800000000,123.480000000,124.280000000,582816,CVX
2018-06-01T00:00:00.000000000Z,35,2,1788,124.960000000,125.600000000,123.430000000,123.850000000,681714,CVX
2018-06-04T00:00:00.000000000Z,35,2,1786,124.540000000,125.400000000,122.180000000,122.280000000,573986,CVX
2018-06-05T00:00:00.000000000Z,35,2,1787,122.000000000,123.700000000,121.560000000,122.780000000,733109,CVX
2018-06-06T00:00:00.000000000Z,35,2,1788,123.120000000,123.690000000,122.060000000,123.440000000,794365,CVX
2018-06-07T00:00:00.000000000Z,35,2,1787,124.110000000,127.980000000,124.010000000,126.970000000,865853,CVX
2018-06-08T00:00:00.000000000Z,35,2,1787,127.040000000,127.375000000,125.690000000,126.380000000,620703,CVX
2018-06-11T00:00:00.000000000Z,35,2,1785,126.100000000,128.190000000,125.870000000,127.580000000,873116,CVX
2018-06-12T00:00:00.000000000Z,35,2,1785,127.500000000,128.380000000,126.350000000,127.150000000,613136,CVX
2018-06-13T00:00:00.000000000Z,35,2,1784,126.790000000,127.830000000,126.090000000,127.070000000,816899,CVX
