ts_event,equity,returns,position,spread,lambda
2018-05-02 00:00:00+00:00,1000000.0,0.0,0.0,4.7938836458215,0.009996395740454593
2018-05-03 00:00:00+00:00,1000000.0,0.0,0.0,4.828071205618031,0.009996395740454593
2018-05-04 00:00:00+00:00,1000000.0,0.0,0.0,4.848126206366692,0.009996395740454593
2018-05-07 00:00:00+00:00,1000000.0,0.0,0.0,4.879639285629788,0.009996395740454593
2018-05-08 00:00:00+00:00,1000000.0,0.0,0.0,4.884319013387062,0.009996395740454593
2018-05-09 00:00:00+00:00,1000000.0,0.0,0.0,4.8994902406703,0.009996395740454593
2018-05-10 00:00:00+00:00,1000000.0,0.0,0.0,4.884453035528074,0.009996395740454593
2018-05-11 00:00:00+00:00,1000000.0,0.0,0.0,4.891769591515072,0.009996395740454593
2018-05-14 00:00:00+00:00,1000000.0,0.0,0.0,4.888696284594612,0.009996395740454593
2018-05-15 00:00:00+00:00,1000000.0,0.0,0.0,4.838972505248553,0.009996395740454593
2018-05-16 00:00:00+00:00,1000000.0,0.0,0.0,4.840511902170157,0.009996395740454593
2018-05-17 00:00:00+00:00,1000000.0,0.0,0.0,4.846179986953201,0.009996395740454593
2018-05-18 00:00:00+00:00,1000000.0,0.0,0.0,4.833829047091733,0.009996395740454593
2018-05-21 00:00:00+00:00,1000000.0,0.0,0.0,4.832791883431071,0.009996395740454593
2018-05-22 00:00:00+00:00,1000000.0,0.0,0.0,4.821742451116429,0.009996395740454593
2018-05-23 00:00:00+00:00,1000000.0,0.0,0.0,4.840140689848983,0.009996395740454593
2018-05-24 00:00:00+00:00,1000000.0,0.0,0.0,4.836689555027857,0.009996395740454593
2018-05-25 00:00:00+00:00,1000000.0,0.0,0.0,4.8377235641006635,0.009996395740454593
2018-05-29 00:00:00+00:00,1000000.0,0.0,0.0,4.838252110062289,0.009996395740454593
2018-05-30 00:00:00+00:00,1000000.0,0.0,0.0,4.848321938298618,0.009996395740454593
2018-05-31 00:00:00+00:00,1000000.0,0.0,0.0,4.849863489434732,0.009996395740454593
2018-06-01 00:00:00+00:00,1000000.0,0.0,0.0,4.854184688871889,0.009996395740454593
2018-06-04 00:00:00+00:00,1000000.0,0.0,0.0,4.876321408276373,0.009996395740454593
2018-06-05 00:00:00+00:00,1000000.0,0.0,0.0,4.8760067428395875,0.009996395740454593
2018-06-06 00:00:00+00:00,1000000.0,0.0,0.0,4.861884717570875,0.009996395740454593
2018-06-07 00:00:00+00:00,1000000.0,0.0,0.0,4.864929561362667,0.009996395740454593
2018-06-08 00:00:00+00:00,1000000.0,0.0,0.0,4.8565857063314155,0.009996395740454593
2018-06-11 00:00:00+00:00,1000000.0,0.0,0.0,4.843061160899257,0.009996395740454593
2018-06-12 00:00:00+00:00,1000000.0,0.0,0.0,4.851022697029309,0.009996395740454593
2018-06-13 00:00:00+00:00,1000000.0,0.0,0.0,4.839945998944932,0.009996395740454593
2018-06-14 00:00:00+00:00,1000000.0,0.0,0.0,4.861389957004354,0.009996395740454593
