ts_event,signal,position,position_size,z_score,lambda,spread
2018-05-02 00:00:00+00:00,0.0,0.0,0.0,0.2334101865917678,0.009996395740454593,4.7938836458215
2018-05-03 00:00:00+00:00,0.0,0.0,0.0,0.23655460701249112,0.009996395740454593,4.828071205618031
2018-05-04 00:00:00+00:00,0.0,0.0,0.0,0.23839917720899031,0.009996395740454593,4.848126206366692
2018-05-07 00:00:00+00:00,0.0,0.0,0.0,0.24129761074869,0.009996395740454593,4.879639285629788
2018-05-08 00:00:00+00:00,0.0,0.0,0.0,0.2417280313932453,0.009996395740454593,4.884319013387062
2018-05-09 00:00:00+00:00,0.0,0.0,0.0,0.24312341372415067,0.009996395740454593,4.8994902406703
2018-05-10 00:00:00+00:00,0.0,0.0,0.0,0.241740358156534,0.009996395740454593,4.884453035528074
2018-05-11 00:00:00+00:00,0.0,0.0,0.0,0.24241330258988353,0.009996395740454593,4.891769591515072
2018-05-14 00:00:00+00:00,0.0,0.0,0.0,0.2421306334231645,0.009996395740454593,4.888696284594612
2018-05-15 00:00:00+00:00,0.0,0.0,0.0,0.23755726029850066,0.009996395740454593,4.838972505248553
2018-05-16 00:00:00+00:00,0.0,0.0,0.0,0.23769884721329357,0.009996395740454593,4.840511902170157
2018-05-17 00:00:00+00:00,0.0,0.0,0.0,0.23822017256217107,0.009996395740454593,4.846179986953201
2018-05-18 00:00:00+00:00,0.0,0.0,0.0,0.23708418778447224,0.009996395740454593,4.833829047091733
2018-05-21 00:00:00+00:00,0.0,0.0,0.0,0.2369887940619127,0.009996395740454593,4.832791883431071
2018-05-22 00:00:00+00:00,0.0,0.0,0.0,0.2359725161873191,0.009996395740454593,4.821742451116429
2018-05-23 00:00:00+00:00,0.0,0.0,0.0,0.23766470474714305,0.009996395740454593,4.840140689848983
2018-05-24 00:00:00+00:00,0.0,0.0,0.0,0.2373472846425552,0.009996395740454593,4.836689555027857
2018-05-25 00:00:00+00:00,0.0,0.0,0.0,0.23744238822008737,0.009996395740454593,4.8377235641006635
2018-05-29 00:00:00+00:00,0.0,0.0,0.0,0.2374910015380579,0.009996395740454593,4.838252110062289
2018-05-30 00:00:00+00:00,0.0,0.0,0.0,0.23841717976569213,0.009996395740454593,4.848321938298618
2018-05-31 00:00:00+00:00,0.0,0.0,0.0,0.2385589648156002,0.009996395740454593,4.849863489434732
2018-06-01 00:00:00+00:00,0.0,0.0,0.0,0.23895640961227724,0.009996395740454593,4.854184688871889
2018-06-04 00:00:00+00:00,0.0,0.0,0.0,0.24099244707612524,0.009996395740454593,4.876321408276373
2018-06-05 00:00:00+00:00,0.0,0.0,0.0,0.24096350554209908,0.009996395740454593,4.8760067428395875
2018-06-06 00:00:00+00:00,0.0,0.0,0.0,0.2396646241682545,0.009996395740454593,4.861884717570875
2018-06-07 00:00:00+00:00,0.0,0.0,0.0,0.23994467542238918,0.009996395740454593,4.864929561362667
2018-06-08 00:00:00+00:00,0.0,0.0,0.0,0.23917724457023215,0.009996395740454593,4.8565857063314155
2018-06-11 00:00:00+00:00,0.0,0.0,0.0,0.23793331674704205,0.009996395740454593,4.843061160899257
2018-06-12 00:00:00+00:00,0.0,0.0,0.0,0.2386655835989805,0.009996395740454593,4.851022697029309
2018-06-13 00:00:00+00:00,0.0,0.0,0.0,0.23764679793957708,0.009996395740454593,4.839945998944932
2018-06-14 00:00:00+00:00,0.0,0.0,0.0,0.23961911828137647,0.009996395740454593,4.861389957004354
2018-06-15 00:00:00+00:00,0.0,0.0,0.0,0.24567929355904924,0.009996395740454593,4.927278921252727
2018-06-18 00:00:00+00:00,0.0,0.0,0.0,0.24906040305931104,0.009996395740454593,4.964039871683212
2018-06-19 00:00:00+00:00,0.0,0.0,0.0,0.25245992617403057,0.009996395740454593,5.001001023251305
2018-06-20 00:00:00+00:00,0.0,0.0,0.0,0.25350156855696027,0.009996395740454593,5.01232622996295
2018-06-21 00:00:00+00:00,0.0,0.0,0.0,0.2502926050536162,0.009996395740454593,4.977436928604762
2018-06-22 00:00:00+00:00,0.0,0.0,0.0,0.2442512316083439,0.009996395740454593,4.911752386374907
2018-06-25 00:00:00+00:00,0.0,0.0,0.0,0.23953990019102053,0.009996395740454593,4.860528662126875
2018-06-26 00:00:00+00:00,0.0,0.0,0.0,0.23672836064306657,0.009996395740454593,4.829960333609954
2018-06-27 00:00:00+00:00,0.0,0.0,0.0,0.23137509327169023,0.009996395740454593,4.771757191574753
2018-06-28 00:00:00+00:00,0.0,0.0,0.0,0.23466492459059782,0.009996395740454593,4.807525724368399
2018-06-29 00:00:00+00:00,0.0,0.0,0.0,0.23556469852450654,0.009996395740454593,4.817308473191086
2018-07-02 00:00:00+00:00,0.0,0.0,0.0,0.236648513726258,0.009996395740454593,4.829092201847111
2018-07-03 00:00:00+00:00,0.0,0.0,0.0,0.2359020874833208,0.009996395740454593,4.820976718419407
2018-07-05 00:00:00+00:00,0.0,0.0,0.0,0.23743917981841872,0.009996395740454593,4.837688680907826
2018-07-06 00:00:00+00:00,0.0,0.0,0.0,0.2422717234918137,0.009996395740454593,4.890230279580414
2018-07-09 00:00:00+00:00,0.0,0.0,0.0,0.2462912712974553,0.009996395740454593,4.933932619781084
2018-07-10 00:00:00+00:00,0.0,0.0,0.0,0.2507174790559805,0.009996395740454593,4.982056350761574
2018-07-11 00:00:00+00:00,0.0,0.0,0.0,0.2504354726356196,0.009996395740454593,4.978990249519018
2018-07-12 00:00:00+00:00,0.0,0.0,0.0,0.2534710093811372,0.009996395740454593,5.011993976793527
