entry_date,exit_date,direction,entry_z,exit_z,entry_lambda,exit_lambda,entry_regime,exit_regime,position_size,pnl,return_pct,duration_days,exit_reason,mae_pct,mfe_pct
2018-06-20 00:00:00+00:00,2018-07-12 00:00:00+00:00,SHORT,4.329110331560995,0.4786106002427759,0.29710540938579244,0.024293688306922082,elevated,normal,0.0,-586.0190130783728,-0.21782297054034125,22,signal,-0.32107350829019615,0.03038360053438508
2018-09-26 00:00:00+00:00,2018-10-12 00:00:00+00:00,SHORT,2.1872327584413327,0.4878413358824253,0.038227487102167126,0.023364434324093495,normal,normal,0.0,-410.81036263421254,-0.13580639295376956,16,signal,-0.13580639295376956,0.028027236898721355
2019-06-20 00:00:00+00:00,2019-07-15 00:00:00+00:00,LONG,-2.1157919590209437,0.17404378268468337,0.6253978389417191,0.030383893962993708,crisis,normal,0.0,-207.78556973396815,-0.22942450346147167,25,signal,-0.3143206757040838,0.0
2019-10-10 00:00:00+00:00,2019-11-04 00:00:00+00:00,SHORT,2.016666488197735,0.10188042331879915,0.029921747655727485,0.02556863167304241,normal,normal,0.0,-606.3253353069042,-0.2190033816467074,25,signal,-0.2190033816467074,0.0
2019-12-23 00:00:00+00:00,2020-01-15 00:00:00+00:00,LONG,-3.4666615009734723,-0.26378031244594885,0.4921776111585321,0.02877409192698887,elevated,normal,0.0,-70.292118629244,-0.031006491195569492,23,signal,-0.1342500622035932,0.061668086780847536
2020-08-31 00:00:00+00:00,2020-09-10 00:00:00+00:00,LONG,-2.0314255312675993,-2.5405093853280674,0.40882616511898173,0.551849921217354,elevated,crisis,0.0,-108.22643010300985,-0.1068201026067538,10,signal,-0.1068201026067538,0.0
2020-09-11 00:00:00+00:00,2020-10-16 00:00:00+00:00,LONG,-2.2605155229641247,-0.3675059410677375,0.5991165472078367,0.024505248692766577,crisis,normal,0.0,-74.85844840890479,-0.0626639495761942,35,signal,-0.2594416137693757,0.029425213783139875
2020-11-10 00:00:00+00:00,2020-11-18 00:00:00+00:00,SHORT,2.0317325516064773,2.1394156387229826,0.3735008950581507,0.5748933723186093,elevated,crisis,0.0,-34.18666897117836,-0.012615503996822947,8,signal,-0.01503368803207269,0.029380039814585486
2020-11-19 00:00:00+00:00,2020-12-16 00:00:00+00:00,SHORT,2.013724187005667,0.3354585809069846,0.6171366117462962,0.1953591293157118,crisis,elevated,0.0,-243.06595141706427,-0.27335020252498077,27,signal,-0.2806065240059154,0.041645935214382805
2021-05-17 00:00:00+00:00,2021-06-11 00:00:00+00:00,SHORT,2.1309852293442355,0.41619424059335725,0.05213840238430692,0.15023632113826163,normal,normal,0.0,-319.70839969463754,-0.09830040739562021,25,signal,-0.09830040739562021,0.11550719579297788
