ts_event,equity,returns,position,spread,lambda
2018-05-02 00:00:00+00:00,1000000.0,0.0,0.0,3.802724284297657,0.03745268096239001
2018-05-03 00:00:00+00:00,999833.2962884365,-0.00016670371156348848,-1.0,3.8010818647547375,0.03745268096239001
2018-05-04 00:00:00+00:00,998230.8422538651,-0.0016027212141464192,-1.0,3.8042831723573522,0.03745268096239001
2018-05-07 00:00:00+00:00,992444.2059677391,-0.005796891902338513,-1.0,3.815769484036636,0.03745268096239001
2018-05-08 00:00:00+00:00,989674.3043304011,-0.002790989781271417,-1.0,3.8211864803931057,0.03745268096239001
2018-05-09 00:00:00+00:00,979118.263884707,-0.010666176134416441,-1.0,3.8416016365526486,0.03745268096239001
2018-05-10 00:00:00+00:00,966837.4314172913,-0.01254274679617437,-1.0,3.864858641942277,0.03745268096239001
2018-05-11 00:00:00+00:00,971656.97191637,0.004984850960945633,-1.0,3.855768908939079,0.03745268096239001
2018-05-14 00:00:00+00:00,967566.5616839512,-0.004209726632590723,-1.0,3.863441142939846,0.03745268096239001
2018-05-15 00:00:00+00:00,969191.3203691158,0.0016792216158616436,-1.0,3.860414842042232,0.03745268096239001
2018-05-16 00:00:00+00:00,967047.2801061561,-0.002212195072220734,-1.0,3.8644389773947934,0.03745268096239001
2018-05-17 00:00:00+00:00,967025.1852495907,-2.2847752142008523e-05,-1.0,3.8644819578565914,0.03745268096239001
2018-05-18 00:00:00+00:00,970657.1009840228,0.0037557612664397867,-1.0,3.8577102475864784,0.03745268096239001
2018-05-21 00:00:00+00:00,964541.8578170842,-0.0063001065574436205,-1.0,3.8691243932546837,0.03745268096239001
2018-05-22 00:00:00+00:00,968011.2452344929,0.00359692779457031,-1.0,3.862681086084176,0.03745268096239001
2018-05-23 00:00:00+00:00,965806.3129947111,-0.002277796100651398,-1.0,3.8667915973329507,0.03745268096239001
2018-05-24 00:00:00+00:00,975963.3577096246,0.010516647673816864,-1.0,3.847694911113147,0.03745268096239001
