entry_date,exit_date,direction,entry_price,exit_price,position_size,pnl,return_pct,duration_days,entry_lambda,exit_lambda,mae_pct,mfe_pct
2018-05-03 00:00:00+00:00,2018-11-26 00:00:00+00:00,SHORT,76.68,77.0,-1.0,-7157.509965626887,-0.6991651793419896,207,0.03745268096239001,0.03745268096239001,-6.6164758102456975,0.369027688619037
2019-07-19 00:00:00+00:00,2019-08-08 00:00:00+00:00,SHORT,74.85,72.0,-1.0,17848.196983014626,1.8008880513040635,20,0.03745268096239001,0.03745268096239001,-0.3210776362632842,3.3189199235508378
2021-02-24 00:00:00+00:00,2021-04-27 00:00:00+00:00,LONG,56.95,56.39,1.0,-4518.100148969009,-0.43530404813629614,62,0.03745268096239001,0.03745268096239001,-1.8762833682443125,4.056288966924887
2021-12-28 00:00:00+00:00,2022-01-13 00:00:00+00:00,SHORT,61.72,70.7,-1.0,-69068.17823222883,-6.887848933123659,16,0.03745268096239001,0.03745268096239001,-7.356894607241708,0.6679346218519816
2022-02-16 00:00:00+00:00,2022-03-11 00:00:00+00:00,LONG,78.14,84.94,1.0,28193.391184445907,2.837768857689473,23,0.03745268096239001,0.03745268096239001,-1.630906828219214,4.87552790341989
2022-06-10 00:00:00+00:00,2022-06-22 00:00:00+00:00,LONG,100.28,87.19,1.0,-56237.5967181213,-5.609322538995798,12,0.03745268096239001,0.03745268096239001,-6.350632906782619,0.0
2023-02-17 00:00:00+00:00,2023-04-20 00:00:00+00:00,SHORT,111.15,115.44,-1.0,-17059.571944575764,-1.688635519220152,62,0.03745268096239001,0.03745268096239001,-2.493317055513666,4.680772876962509
2023-10-02 00:00:00+00:00,2023-10-30 00:00:00+00:00,LONG,115.49,105.88,1.0,-34866.5681691747,-3.471441333388813,28,0.03745268096239001,0.03745268096239001,-3.881078221109874,0.11851352951435315
2024-01-25 00:00:00+00:00,2024-03-13 00:00:00+00:00,SHORT,102.01,109.57,-1.0,-35060.54771635706,-3.4882075513046944,48,0.03745268096239001,0.03745268096239001,-3.4882075513046944,0.6589351728628075
2024-04-09 00:00:00+00:00,2024-05-30 00:00:00+00:00,LONG,121.24,113.91,1.0,-29012.746586765745,-2.8855523796420317,51,0.03745268096239001,0.03745268096239001,-3.047428910216871,0.3749616266716717
2024-08-09 00:00:00+00:00,2024-10-24 00:00:00+00:00,SHORT,119.26,119.59,-1.0,199.40162361717864,0.036704556791862,76,0.39968712754877045,0.03745268096239001,-2.3785576141400524,3.7425777511213334
2024-12-05 00:00:00+00:00,2025-01-10 00:00:00+00:00,SHORT,114.71,106.38,-1.0,33934.057191004824,3.408920229144857,36,0.03745268096239001,0.03745268096239001,0.0,3.408920229144857
2025-08-28 00:00:00+00:00,2025-10-10 00:00:00+00:00,SHORT,113.35,110.81,-1.0,7462.848861133871,0.762511756716468,43,0.03745268096239001,0.03745268096239001,-1.682719429107354,1.5935652036035381
2025-11-13 00:00:00+00:00,2026-01-22 00:00:00+00:00,SHORT,119.11,133.7,-1.0,-57748.652304772986,-5.756246978985967,70,0.03745268096239001,0.03745268096239001,-5.758942870051284,1.619621896313445
